name,overall_infrastructure_score,basic_infrastructure_score,technological_infrastructure_score,scientific_infrastructure_score,health_and_environment_score,education_score,heritage_site_count
Afghanistan,,,,,,,2
Albania,,,,,,,4
Algeria,,,,,,,7
Andorra,,,,,,,1
Angola,,,,,,,1
Antigua and Barbuda,,,,,,,1
Argentina,27.4,35.5,32.4,29.2,36.9,35.5,12
Armenia,,,,,,,3
Australia,67.8,55.2,53.0,55.3,63.3,63.0,20
Austria,70.0,54.9,50.3,66.8,63.4,61.0,12
Azerbaijan,,,,,,,5
Bahrain,46.8,57.0,53.3,23.6,44.3,49.0,3
Bangladesh,,,,,,,3
Barbados,,,,,,,1
Belarus,,,,,,,4
Belgium,67.6,46.8,55.0,64.9,57.2,65.4,16
Belize,,,,,,,1
Benin,,,,,,,3
Bolivia,,,,,,,7
Bosnia and Herzegovina,,,,,,,5
Botswana,26.2,41.9,30.7,25.5,29.2,38.7,2
Brazil,25.7,33.9,32.5,41.1,40.0,16.9,24
Bulgaria,24.9,28.6,37.2,29.1,35.2,32.0,10
Burkina Faso,,,,,,,4
Cambodia,,,,,,,4
Cameroon,,,,,,,2
Canada,68.5,55.6,53.1,61.4,59.3,62.6,22
Cape Verde,,,,,,,1
Central African Republic,,,,,,,2
Chad,,,,,,,2
Chile,38.0,47.4,49.7,27.6,41.5,34.9,7
China,68.8,54.0,62.5,72.0,50.3,53.9,59
Colombia,29.1,46.4,38.7,29.2,36.9,23.3,9
Costa Rica,,,,,,,4
Croatia,38.7,41.3,39.8,32.1,45.3,44.7,10
Cuba,,,,,,,9
Cyprus,40.3,32.8,40.1,29.1,50.0,55.9,3
Czech Republic,55.4,51.1,47.5,50.7,52.8,50.7,17
C̫te d'Ivoire,,,,,,,5
Democratic Republic of the Congo,,,,,,,5
Denmark,84.3,61.0,67.1,70.7,71.3,69.1,11
Dominica,,,,,,,1
Dominican Republic,,,,,,,1
Ecuador,,,,,,,5
Egypt,,,,,,,7
El Salvador,,,,,,,1
Eritrea,,,,,,,1
Estonia,54.1,48.7,46.7,38.8,53.5,61.5,2
Ethiopia,,,,,,,12
Fiji,,,,,,,1
Finland,77.0,56.7,62.2,66.3,68.3,63.8,7
France,65.4,48.8,54.9,66.6,59.0,53.4,53
Gabon,,,,,,,2
Gambia,,,,,,,2
Georgia,,,,,,,4
Germany,67.2,47.2,47.7,76.1,61.8,55.3,54
Ghana,6.4,36.9,21.3,13.6,22.4,12.7,2
Greece,43.8,42.0,40.4,42.1,46.8,47.1,19
Guatemala,,,,,,,4
Guinea,,,,,,,1
Haiti,,,,,,,1
Honduras,,,,,,,2
Hong Kong,72.7,62.1,60.3,53.6,62.0,66.5,
Hungary,41.8,47.0,39.3,44.1,40.3,41.6,8
Iceland,70.4,60.9,59.1,44.7,69.0,64.0,3
India,31.1,44.9,43.4,48.1,22.3,21.7,43
Indonesia,34.6,53.6,49.1,33.4,28.1,26.6,10
Iran,,,,,,,28
Iraq,,,,,,,6
Ireland,68.4,47.0,60.8,58.9,62.0,63.1,2
Israel,70.0,47.2,60.3,77.8,55.5,55.8,9
Italy,54.6,40.8,45.6,55.0,57.7,51.5,60
Jamaica,,,,,,,1
Japan,63.2,45.3,48.0,70.0,61.3,51.6,26
Jerusalem (proposed by Jordan),,,,,,,1
Jordan,28.0,35.4,34.6,32.5,39.8,28.9,7
Kazakhstan,35.2,47.6,39.8,28.2,30.7,46.4,6
Kenya,,,,,,,8
Kiribati,,,,,,,1
Kuwait,36.1,44.0,42.9,30.1,34.9,43.6,
Kyrgyzstan,,,,,,,3
Laos,,,,,,,3
Latvia,48.0,49.2,49.9,27.6,51.2,52.9,3
Lebanon,,,,,,,6
Lesotho,,,,,,,1
Libya,,,,,,,5
Lithuania,55.3,50.2,54.8,39.7,52.5,55.5,5
Luxembourg,61.3,57.2,46.8,44.0,56.6,66.0,1
Madagascar,,,,,,,3
Malawi,,,,,,,2
Malaysia,49.7,57.6,49.9,44.7,41.5,42.2,5
Mali,,,,,,,4
Malta,,,,,,,3
Marshall Islands,,,,,,,1
Mauritania,,,,,,,2
Mauritius,,,,,,,2
Mexico,17.7,33.5,25.6,29.0,33.1,19.0,35
Micronesia,,,,,,,1
Moldova,,,,,,,1
Mongolia,14.4,36.7,34.8,10.5,21.6,27.1,6
Montenegro,,,,,,,4
Morocco,,,,,,,9
Mozambique,,,,,,,1
Myanmar,,,,,,,2
Namibia,,,,,,,2
Nepal,,,,,,,4
Netherlands,73.0,54.5,59.7,68.5,58.8,64.0,13
New Zealand,54.5,49.3,43.9,46.4,59.3,51.5,3
Nicaragua,,,,,,,2
Niger,,,,,,,3
Nigeria,5.4,30.4,23.5,27.2,13.5,9.1,2
North Korea,,,,,,,2
North Macedonia,,,,,,,2
Norway,77.1,63.9,58.8,62.6,68.0,64.1,8
Oman,,,,,,,5
Pakistan,,,,,,,6
Palau,,,,,,,1
Palestine,,,,,,,5
Panama,,,,,,,5
Papua New Guinea,,,,,,,1
Paraguay,,,,,,,1
Peru,15.2,36.4,22.1,21.0,28.2,25.4,13
Philippines,18.7,33.5,36.7,27.5,28.1,17.7,6
Poland,47.6,44.3,45.9,45.6,43.1,50.6,17
Portugal,56.4,47.6,51.5,46.5,54.1,56.2,17
Puerto Rico,36.0,27.8,48.2,39.7,45.5,34.0,
Qatar,51.8,64.2,56.0,32.1,42.8,47.0,1
Republic of the Congo,,,,,,,2
Romania,34.6,39.6,47.7,35.3,36.6,31.8,11
Russia,,,,,,,32
Rwanda,,,,,,,2
Saint Kitts and Nevis,,,,,,,1
Saint Lucia,,,,,,,1
San Marino,,,,,,,1
Saudi Arabia,50.2,59.5,49.0,41.9,38.8,48.4,8
Senegal,,,,,,,7
Serbia,,,,,,,5
Seychelles,,,,,,,2
Singapore,77.1,61.1,70.4,66.8,52.7,66.5,1
Slovakia,35.1,43.9,40.1,32.4,40.8,35.0,8
Slovenia,48.0,38.6,43.2,44.3,49.1,55.7,5
Solomon Islands,,,,,,,1
South Africa,21.0,33.7,34.0,32.6,23.6,26.4,12
South Korea,71.9,56.5,56.2,80.2,52.0,57.1,16
Spain,56.3,51.0,50.9,48.5,55.9,49.2,50
Sri Lanka,,,,,,,8
Sudan,,,,,,,3
Suriname,,,,,,,3
Sweden,81.8,54.0,65.3,75.1,71.5,65.7,15
Switzerland,88.4,61.1,65.7,79.6,72.8,72.2,13
Syria,,,,,,,6
Taiwan,72.0,48.7,59.8,76.0,55.0,62.8,
Tajikistan,,,,,,,4
Tanzania,,,,,,,7
Thailand,40.2,51.4,51.1,39.9,34.0,31.3,8
Togo,,,,,,,1
Total,,,,,,,1223
Tunisia,,,,,,,9
Turkey,36.1,44.8,35.7,42.0,38.3,34.6,21
Turkmenistan,,,,,,,5
Uganda,,,,,,,3
Ukraine,,,,,,,8
United Arab Emirates,58.4,59.7,57.2,43.3,47.5,54.3,1
United Kingdom,64.4,44.6,50.5,68.7,59.4,56.5,35
United States,73.7,54.2,57.2,79.4,56.9,59.6,26
Uruguay,,,,,,,3
Uzbekistan,,,,,,,7
Vanuatu,,,,,,,1
Vatican City,,,,,,,2
Venezuela,,28.1,9.4,11.4,23.9,14.8,3
Vietnam,,,,,,,8
Yemen,,,,,,,5
Zambia,,,,,,,1
Zimbabwe,,,,,,,5
